category,href,num_jobs,date
Kursleiter und Ausbilder,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Sonstige-Berufe-Projekte,28,2025-03-18
Dienstleistung,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Dienstleistung-Projekte,19,2025-03-18
Sprache / Übersetzung,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Sprache-Uebersetzung-Projekte,4,2025-03-18
Arbeits- und Einkommensspezialisten öffentlicher Sektor,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Arbeits-Und-Einkommensspezialisten-%C3%B6ffentlicher-Sektor-Projekte,3,2025-03-18
Arbeitsschutzexperten und -inspektoren,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Arbeitsschutzexperten-Und-inspektoren-Projekte,2,2025-03-18
Sozial-gesellschaftliche Arbeiter,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Sozial-gesellschaftliche-Arbeiter-Projekte,2,2025-03-18
Anwälte und unterstützendes Personal,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Anw%C3%A4lte-Und-Unterst%C3%BCtzendes-Personal-Projekte,1,2025-03-18
Weniger,,0,2025-03-18
Bauwesen und Bergbau,/projekte/Bauwesen-Und-Bergbau-Projekte,324,2025-03-18
Subunternehmer Bauwesen,/projekte/Bauwesen-Und-Bergbau-Projekte/Subunternehmer-Bauwesen-Projekte,114,2025-03-18
Bohrarbeitenaufseher / Bohrarbeitenprüfer,/projekte/Bauwesen-Und-Bergbau-Projekte/Bohrarbeitenaufseher-/-Bohrarbeitenpr%C3%BCfer-Projekte,72,2025-03-18
Projektleiter Bau,/projekte/Bauwesen-Und-Bergbau-Projekte/Projektleiter-Bau-Projekte,57,2025-03-18
Manager Bau und Rohstoffgewinnung,/projekte/Bauwesen-Und-Bergbau-Projekte/Manager-Bau-Und-Rohstoffgewinnung-Projekte,48,2025-03-18
Finisher Bau,/projekte/Bauwesen-Und-Bergbau-Projekte/Finisher-Bau-Projekte,45,2025-03-18
Subunternehmer und Projektleiter im Tief- und Wasserbau,/projekte/Bauwesen-Und-Bergbau-Projekte/Subunternehmer-Und-Projektleiter-Im-Tief-Und-Wasserbau-Projekte,39,2025-03-18
Straßenbauer,/projekte/Bauwesen-Und-Bergbau-Projekte/Strassenbauer-Projekte,37,2025-03-18
Bauwesen und Bergbau,/projekte/Bauwesen-Und-Bergbau-Projekte/Bauwesen-Und-Bergbau-sonstige-Projekte,13,2025-03-18
"Baumaschinenführer Hoch-, Tief- und Wasserbau",/projekte/Bauwesen-Und-Bergbau-Projekte/Baumaschinenf%C3%BChrer-Hoch-Tief-Und-Wasserbau-Projekte,9,2025-03-18
Maurer und Steinhauer,/projekte/Bauwesen-Und-Bergbau-Projekte/Maurer-Und-Steinhauer-Projekte,1,2025-03-18
Weniger,,0,2025-03-18
Einkauf und Lagerhaltung,/projekte/Einkauf-Handel-Logistik,287,2025-03-18
Logistik / Supply-Chain-Management,/projekte/Einkauf-Handel-Logistik/Supply-Chain-Management-Projekte,100,2025-03-18
Käufer / Beschaffer,/projekte/Einkauf-Handel-Logistik/Einkauf-Projekte,76,2025-03-18
Leiter Einkauf und Lagerverwaltung,/projekte/Einkauf-Handel-Logistik/Leiter-Einkauf-Und-Lagerverwaltung-Projekte,45,2025-03-18
Handel / E-Commerce,/projekte/Einkauf-Handel-Logistik/Handel-E-Commerce-Projekte,32,2025-03-18
Lagermitarbeiter und Regalauffüller,/projekte/Einkauf-Handel-Logistik/Lagermitarbeiter-Und-Regalauff%C3%BCller-Projekte,29,2025-03-18
Transport / Spedition,/projekte/Einkauf-Handel-Logistik/Transport-Projekte,14,2025-03-18
Lieferantenmanagement,/projekte/Einkauf-Handel-Logistik/Lieferantenmanagement-Projekte,10,2025-03-18
Lagerleiter,/projekte/Einkauf-Handel-Logistik/Lagerleiter-Projekte,5,2025-03-18
Arbeitskräfte Beladung und Bestellungsaufnahme,/projekte/Einkauf-Handel-Logistik/Arbeitskr%C3%A4fte-Beladung-Und-Bestellungsaufnahme-Projekte,5,2025-03-18
"Kranführer, interner Warentransporteur",/projekte/Einkauf-Handel-Logistik/Kranf%C3%BChrer-Interner-Warentransporteur-Projekte,4,2025-03-18
Import / Export,/projekte/Einkauf-Handel-Logistik/Import-Export-Projekte,3,2025-03-18
Weniger,,0,2025-03-18
Bildungswesen und Training,/projekte/Forschung-Wissenschaft-Bildung-Projekte,282,2025-03-18
Wissenschaft,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Wissenschaft-Projekte,199,2025-03-18
Medizinische Wissenschaft,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Medizinische-Wissenschaft-Projekte,43,2025-03-18
Bildungswesen und Training,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Bildungswesen-Und-Training-sonstige-Projekte,25,2025-03-18
Lehrer an Technischer Berufsschule,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Lehrer-An-Technischer-Berufsschule-Projekte,12,2025-03-18
Bildung,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Bildung-Projekte,9,2025-03-18
Mitarbeiter Bildungswesen/Bildungsunterstützung,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Mitarbeiter-Bildungswesen-bildungsunterst%C3%BCtzung-Projekte,9,2025-03-18
Wissenschaftler,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Wissenschaftler-Projekte,7,2025-03-18
"Universitätsdozenten Rechts-, Wirtschafts- und Sozialwissenschaften",/projekte/Forschung-Wissenschaft-Bildung-Projekte/Universit%C3%A4tsdozenten-Rechts-Wirtschafts-Und-Sozialwissenschaften-Projekte,4,2025-03-18
