group,category,num
SAP,Mitarbeiter Versicherungen und Finanzen,49
SAP,Handel / E-Commerce,35
SAP,Kommunikation,35
SAP,Mitarbeiter Bankfiliale,33
SAP,Finisher Bau,30
SAP,"Landwirtschaft, Viehwirtschaft und Fischerei",29
SAP,Finanzexperten,23
SAP,Mechaniker Büro- und Kommunikationsgeräte,9
SAP,Berater Versicherungen und Finanzen,8
SAP,Finnland,6
SAP,Aufseher Landwirtschaft und Fischerei,5
SAP,Mexico,5
SAP,Arbeits- und Einkommensspezialisten öffentlicher Sektor,3
SAP,"Universitätsdozenten Rechts-, Wirtschafts- und Sozialwissenschaften",3
SAP,Filialleiter Verkauf,2
SAP,Mitarbeiter öffentlicher Reinigungsdienst,2
SAP,Philippinen,1
SAP,Universitätsdozenten Mathematik und Naturwissenschaften,1
Testing,Automatisierung,659
Testing,Testen,406
Testing,Test Automation,201
Testing,Automatisierungstechnik,57
Testing,IT Testers,4
